時間,設備,值
2024-10-19 14:55:00,SA-23/LINE_LEVEL,9106
2024-10-19 14:55:02,SA-23/LINE_LEVEL,3088
2024-10-19 14:55:04,SA-23/LINE_LEVEL,3984
2024-10-19 14:55:06,SA-23/LINE_LEVEL,3904
2024-10-19 14:55:08,SA-23/LINE_LEVEL,10786
2024-10-19 14:55:10,SA-23/LINE_LEVEL,10770
2024-10-19 14:55:12,SA-23/LINE_LEVEL,10706
2024-10-19 14:55:14,SA-23/LINE_LEVEL,10802
2024-10-19 14:55:16,SA-23/LINE_LEVEL,11026
2024-10-19 14:55:18,SA-23/TEMPERATURE,29.39
2024-10-19 14:55:18,SA-23/LINE_LEVEL,10850
2024-10-19 14:55:20,SA-23/TEMPERATURE,28.92
2024-10-19 14:55:20,SA-23/LINE_LEVEL,10706
2024-10-19 14:55:22,SA-23/LINE_LEVEL,10962
2024-10-19 14:55:24,SA-23/LINE_LEVEL,11218
2024-10-19 14:55:26,SA-23/TEMPERATURE,29.39
2024-10-19 14:55:26,SA-23/LINE_LEVEL,11010
2024-10-19 14:55:28,SA-23/TEMPERATURE,28.92
2024-10-19 14:55:28,SA-23/LINE_LEVEL,10738
2024-10-19 14:55:30,SA-23/LINE_LEVEL,11026
2024-10-19 14:55:32,SA-23/LINE_LEVEL,11522
2024-10-19 14:55:34,SA-23/LINE_LEVEL,11506
2024-10-19 14:55:36,SA-23/LINE_LEVEL,11282
2024-10-19 14:55:38,SA-23/LINE_LEVEL,11394
2024-10-19 14:55:40,SA-23/TEMPERATURE,29.39
2024-10-19 14:55:40,SA-23/LINE_LEVEL,11618
2024-10-19 14:55:42,SA-23/TEMPERATURE,28.92
2024-10-19 14:55:42,SA-23/LINE_LEVEL,11682
2024-10-19 14:55:44,SA-23/LINE_LEVEL,11602
2024-10-19 14:55:46,SA-23/LINE_LEVEL,11122
2024-10-19 14:55:48,SA-23/LINE_LEVEL,10946
2024-10-19 14:55:50,SA-23/LINE_LEVEL,10498
2024-10-19 14:55:52,SA-23/LINE_LEVEL,10546
2024-10-19 14:55:54,SA-23/LINE_LEVEL,10450
2024-10-19 14:55:56,SA-23/LINE_LEVEL,10418
2024-10-19 14:55:58,SA-23/LINE_LEVEL,10402
2024-10-19 14:56:00,SA-23/LINE_LEVEL,10306
2024-10-19 14:56:02,SA-23/LINE_LEVEL,10546
2024-10-19 14:56:04,SA-23/LINE_LEVEL,10450
2024-10-19 14:56:06,SA-23/LINE_LEVEL,10370
2024-10-19 14:56:08,SA-23/LINE_LEVEL,10786
2024-10-19 14:56:10,SA-23/LINE_LEVEL,10594
2024-10-19 14:56:12,SA-23/LINE_LEVEL,10466
2024-10-19 14:56:14,SA-23/LINE_LEVEL,10626
2024-10-19 14:56:16,SA-23/LINE_LEVEL,10514
2024-10-19 14:56:18,SA-23/LINE_LEVEL,10626
2024-10-19 14:56:20,SA-23/LINE_LEVEL,10658
2024-10-19 14:56:22,SA-23/LINE_LEVEL,10466
2024-10-19 14:56:24,SA-23/LINE_LEVEL,10386
2024-10-19 14:56:28,SA-23/LINE_LEVEL,10434
2024-10-19 14:56:30,SA-23/LINE_LEVEL,10466
2024-10-19 14:56:32,SA-23/LINE_LEVEL,10386
2024-10-19 14:56:34,SA-23/LINE_LEVEL,10258
2024-10-19 14:56:36,SA-23/LINE_LEVEL,10290
2024-10-19 14:56:38,SA-23/LINE_LEVEL,10434
2024-10-19 14:56:40,SA-23/TEMPERATURE,28.45
2024-10-19 14:56:40,SA-23/LINE_LEVEL,10498
2024-10-19 14:56:42,SA-23/TEMPERATURE,28.92
